,loss,accuracy,val_loss,val_accuracy
0,47.685791015625,0.5755208134651184,0.5570958256721497,0.765625
1,0.6131294965744019,0.6799784302711487,0.5232185125350952,0.7421875
2,0.6160427927970886,0.6535348296165466,0.4845084547996521,0.8359375
3,0.9383102655410767,0.6810577511787415,0.4637871980667114,0.796875
4,0.6541559100151062,0.6994063854217529,0.4980326294898987,0.71875
5,0.634803056716919,0.7004857063293457,0.3453170657157898,0.8671875
6,0.5783493518829346,0.7226119637489319,0.4090769290924072,0.796875
7,0.7748193144798279,0.7382622957229614,0.3210352063179016,0.8828125
8,0.4919126033782959,0.7636265754699707,0.4098663926124573,0.78125
9,0.5215516686439514,0.7479762434959412,0.4198760986328125,0.8046875
